,YEAR,NOM_MUN,TOT_HOG,HOG_REM,HOG_REM.1,HOG_CIRC,HOG_RET,IIM,GIM,LUGAR
65,2000,Tubutama,466,6.86695279,6.86695279,1.716738197,0.858369099,0.043545758,Medio,
66,2000,Ures,2521,2.380007933,0.0,0.0,0.436334788,-0.711128199,Muy bajo,
67,2000,Villa Hidalgo,535,5.23364486,1.308411215,0.373831776,0.186915888,-0.536064241,Bajo,
68,2000,Villa Pesqueira,444,0.675675676,0.0,0.0,0.225225225,-0.814921311,Muy bajo,
69,2000,Yécora,1545,3.106796117,0.129449838,0.0,1.035598706,-0.576591179,Bajo,
70,2000,General Plutarco Elías Calles,2757,6.347479144,4.606456293,0.797968807,3.336960464,0.227598733,Medio,
71,2000,Benito Juárez,5255,3.672692674,0.114176974,0.0,0.627973359,-0.622061174,Muy bajo,
72,2000,San Ignacio Río Muerto,3117,1.539942252,0.0,0.0,0.802053256,-0.684357373,Muy bajo,
73,2020,Estado,880189,4.049484461,1.33529705,0.30480101,0.80138029,19.98594,Medio,16.0
74,2020,Rosario,14249,4.036504037,0.70180364,0.28087915,0.63180063,64.2511,Bajo,1487.0
75,2020,Aconchi,793,4.413619168,2.6481715,0.25252525,1.00882724,63.80335,Bajo,1202.0
76,2020,Agua Prieta,27252,6.944954803,2.7594305,0.68127417,2.31131035,62.56748,Medio,705.0
77,2020,Altar,2752,9.156976744,2.54360465,0.54744526,0.72674419,62.96525,Medio,839.0
78,2020,Arivechi,395,11.39240506,3.5443038,0.0,1.01265823,63.17557,Medio,909.0
79,2020,Arizpe,966,5.900621118,1.96687371,0.20746888,1.44927536,63.68735,Bajo,1132.0
80,2020,Atil,191,7.853403141,2.09424084,0.0,2.09424084,63.53467,Bajo,1062.0
81,2020,Bacadéhuachi,346,5.49132948,1.73410405,0.0,0.57971014,64.28875,Bajo,1513.0
82,2020,Bacanora,260,13.07692308,3.07692308,0.38610039,1.54440154,62.40714,Medio,671.0
83,2020,Bacerac,380,7.65171504,2.10526316,0.79155673,1.05540897,62.80226,Medio,777.0
84,2020,Bacoachi,525,2.666666667,3.42857143,0.0,0.95238095,64.21729,Bajo,1466.0
85,2020,Bácum,6492,5.591497227,0.72396796,0.13882462,0.44753086,64.30614,Bajo,1524.0
86,2020,Banámichi,569,3.866432337,2.10896309,0.0,0.87873462,64.3281,Bajo,1542.0
87,2020,Baviácora,1040,3.942307692,0.96153846,0.09615385,0.19230769,64.5818,Muy bajo,1748.0
88,2020,Bavispe,387,11.62790698,3.10077519,0.0,2.58397933,62.7899,Medio,771.0
89,2020,Benjamín Hill,1526,6.036745407,1.31061599,0.2621232,0.32808399,64.0241,Bajo,1329.0
90,2020,Caborca,26511,4.624495492,1.96522198,0.32499433,0.76949191,63.86832,Bajo,1239.0
91,2020,Cajeme,135888,4.207305835,1.11856823,0.10917192,0.41236202,64.44597,Muy bajo,1641.0
92,2020,Cananea,11457,3.846826368,3.21201012,0.53410384,1.00436681,63.40168,Bajo,998.0
93,2020,Carbó,1410,3.480113636,0.63829787,0.14204545,0.49715909,64.54617,Muy bajo,1718.0
94,2020,Cucurpe,315,6.666666667,0.63492063,0.0,0.31847134,64.41617,Muy bajo,1619.0
95,2020,Cumpas,1804,7.658157603,1.77383592,0.16629712,0.83148559,63.74372,Bajo,1166.0
96,2020,Divisaderos,243,12.75720165,3.29218107,2.4691358,1.23966942,59.75016,Alto,203.0
97,2020,Empalme,14563,3.879695118,1.18107533,0.31634688,0.41200302,64.20037,Bajo,1454.0
98,2020,Etchojoa,15751,2.318785338,1.02850613,0.0,0.34918418,64.84024,Muy bajo,1966.0
99,2020,Fronteras,2857,3.81519076,1.260063,0.31501575,2.41850683,63.63991,Bajo,1118.0
100,2020,Granados,344,6.395348837,0.87209302,0.0,0.87209302,64.25294,Bajo,1489.0
101,2020,Guaymas,48363,2.781284275,0.33703451,0.14294297,0.48198254,64.68186,Muy bajo,1825.0
102,2020,Hermosillo,280785,2.634202824,1.34765034,0.40176105,0.52524979,64.17119,Bajo,1436.0
103,2020,Huachinera,398,5.27638191,1.50753769,0.0,1.01010101,64.2335,Bajo,1479.0
104,2020,Huásabas,302,7.284768212,2.98013245,0.0,1.65562914,63.56824,Bajo,1083.0
105,2020,Huatabampo,21748,2.40022071,0.54717675,0.2347742,0.13794372,64.66384,Muy bajo,1806.0
106,2020,Huépac,328,1.219512195,1.2195122,0.0,1.52439024,64.60814,Muy bajo,1763.0
107,2020,Imuris,3594,6.64247837,2.03116305,0.1958042,2.25375626,63.38322,Bajo,990.0
108,2020,Magdalena,9855,7.025380711,2.21207509,0.64279155,1.58375635,62.90526,Medio,813.0
109,2020,Mazatán,403,2.481389578,0.0,0.24813896,0.0,64.76991,Muy bajo,1898.0
110,2020,Moctezuma,1771,5.093378608,2.42800678,0.11325028,0.73404856,64.0226,Bajo,1327.0
111,2020,Naco,1717,8.216783217,2.21316249,0.35046729,3.04628002,62.74727,Medio,757.0
112,2020,Nácori Chico,505,10.2970297,1.18811881,0.1996008,0.79840319,63.5066,Bajo,1049.0
113,2020,Navojoa,46423,3.699152816,0.68715938,0.32214823,0.16155785,64.36848,Bajo,1582.0
114,2020,Nogales,76913,6.177616237,1.26506572,0.2302439,1.62224044,63.69913,Bajo,1137.0
115,2020,Opodepe,828,7.246376812,2.41545894,0.24154589,0.12091898,63.77787,Bajo,1189.0
116,2020,Oquitoa,156,10.8974359,0.64102564,0.0,2.56410256,63.30563,Bajo,955.0
117,2020,Pitiquito,2688,3.794642857,2.19494048,0.11177347,0.26041667,64.34573,Bajo,1558.0
118,2020,Puerto Peñasco,19044,7.700804797,2.20541903,0.4098576,2.32496975,62.92975,Medio,824.0
119,2020,Quiriego,934,1.114827202,0.10706638,0.0,0.0,65.23527,Muy bajo,2377.0
120,2020,Rayón,540,3.148148148,1.2962963,0.37105751,1.66666667,63.84503,Bajo,1225.0
121,2020,Rosario,1484,2.897574124,0.47169811,0.13495277,0.0,64.78921,Muy bajo,1919.0
122,2020,Sahuaripa,1690,8.25415677,1.83431953,0.11855365,1.18343195,63.62991,Bajo,1108.0
123,2020,San Javier,158,0.632911392,0.0,0.0,1.26582278,64.95859,Muy bajo,2102.0
124,2020,San Luis Río Colorado,60797,5.151439715,1.33230258,0.45203333,1.60306731,63.51914,Bajo,1057.0
125,2020,Santa Ana,4955,5.348133199,1.77598385,0.24360536,1.23107972,63.79696,Bajo,1200.0
126,2020,Santa Cruz,550,4.007285974,1.27272727,0.18181818,1.81818182,63.95719,Bajo,1287.0
127,2020,Sáric,639,6.41627543,2.50391236,0.15698587,2.34741784,63.35251,Bajo,974.0
128,2020,Soyopa,480,2.083333333,0.20833333,0.0,0.42016807,64.98976,Muy bajo,2138.0
129,2020,Suaqui Grande,353,3.116147309,1.13314448,0.0,0.28409091,64.74832,Muy bajo,1876.0
130,2020,Tepache,397,9.823677582,3.27455919,2.77078086,2.01511335,59.4793,Alto,187.0
131,2020,Trincheras,482,3.941908714,1.24481328,0.625,0.41493776,63.77521,Bajo,1188.0
